county_key,county_name,esc_region_served,esc_region_peims,esc_region_geographic
ANDERSON,Anderson,07,07,07
ANDREWS,Andrews,18,18,18
ANGELINA,Angelina,07,07,07
ARANSAS,Aransas,02,02,02
ARCHER,Archer,09,09,09
ARMSTRONG,Armstrong,16,16,16
ATASCOSA,Atascosa,20,20,20
AUSTIN,Austin,06,06,06
BAILEY,Bailey,17,17,17
BANDERA,Bandera,20,20,20
BASTROP,Bastrop,13,13,13
BAYLOR,Baylor,09,09,09
BEE,Bee,02,02,02
BELL,Bell,12,12,12
BEXAR,Bexar,20,20,20
BLANCO,Blanco,13,13,13
BORDEN,Borden,17,17,17
BOSQUE,Bosque,12,12,12
BOWIE,Bowie,08,08,08
BRAZORIA,Brazoria,04,04,04
BRAZOS,Brazos,06,06,06
BREWSTER,Brewster,18,18,18
BRISCOE,Briscoe,16,16,16
BROOKS,Brooks,01,01,02
BROWN,Brown,15,15,15
BURLESON,Burleson,06,06,06
BURNET,Burnet,13,13,13
CALDWELL,Caldwell,13,13,13
CALHOUN,Calhoun,03,03,03
CALLAHAN,Callahan,14,14,14
CAMERON,Cameron,01,01,01
CAMP,Camp,08,08,08
CARSON,Carson,16,16,16
CASS,Cass,08,08,08
CASTRO,Castro,16,16,16
CHAMBERS,Chambers,04,04,04
CHEROKEE,Cherokee,07,07,07
CHILDRESS,Childress,16,16,16
CLAY,Clay,09,09,09
COCHRAN,Cochran,17,17,17
COKE,Coke,15,15,15
COLEMAN,Coleman,15,15,15
COLLIN,Collin,10,10,10
COLLINGSWORTH,Collingsworth,16,16,16
COLORADO,Colorado,03,03,03
COMAL,Comal,20,13,13
COMANCHE,Comanche,14,14,14
CONCHO,Concho,15,15,15
COOKE,Cooke,11,11,11
CORYELL,Coryell,12,12,12
COTTLE,Cottle,17,17,17
CRANE,Crane,15,15,18
CROCKETT,Crockett,15,15,15
CROSBY,Crosby,17,17,17
CULBERSON,Culberson,18,18,18
DALLAM,Dallam,16,16,16
DALLAS,Dallas,10,10,10
DAWSON,Dawson,17,17,17
DEAF SMITH,Deaf Smith,16,16,16
DELTA,Delta,08,08,08
DENTON,Denton,11,11,11
DEWITT,Dewitt,03,03,03
DICKENS,Dickens,17,17,17
DIMMIT,Dimmit,20,20,20
DONLEY,Donley,16,16,16
DUVAL,Duval,02,02,02
EASTLAND,Eastland,14,14,14
ECTOR,Ector,18,18,18
EDWARDS,Edwards,15,15,15
EL PASO,El Paso,19,19,19
ELLIS,Ellis,10,10,10
ERATH,Erath,11,11,11
FALLS,Falls,12,12,12
FANNIN,Fannin,10,10,10
FAYETTE,Fayette,13,13,13
FISHER,Fisher,14,14,14
FLOYD,Floyd,17,17,17
FOARD,Foard,09,09,09
FORT BEND,Fort Bend,04,04,04
FRANKLIN,Franklin,08,08,08
FREESTONE,Freestone,12,12,12
FRIO,Frio,20,20,20
GAINES,Gaines,17,17,17
GALVESTON,Galveston,04,04,04
GARZA,Garza,17,17,17
GILLESPIE,Gillespie,13,13,13
GLASSCOCK,Glasscock,18,18,18
GOLIAD,Goliad,03,03,03
GONZALES,Gonzales,13,13,13
GRAY,Gray,16,16,16
GRAYSON,Grayson,10,10,10
GREGG,Gregg,07,07,07
GRIMES,Grimes,06,06,06
GUADALUPE,Guadalupe,20,20,13
HALE,Hale,17,17,17
HALL,Hall,16,16,16
HAMILTON,Hamilton,12,12,12
HANSFORD,Hansford,16,16,16
HARDEMAN,Hardeman,09,09,09
HARDIN,Hardin,05,05,05
HARRIS,Harris,04,04,04
HARRISON,Harrison,07,07,07
HARTLEY,Hartley,16,16,16
HASKELL,Haskell,14,14,14
HAYS,Hays,13,13,13
HEMPHILL,Hemphill,16,16,16
HENDERSON,Henderson,07,07,07
HIDALGO,Hidalgo,01,01,01
HILL,Hill,12,12,12
HOCKLEY,Hockley,17,17,17
HOOD,Hood,11,11,11
HOPKINS,Hopkins,08,08,08
HOUSTON,Houston,06,06,06
HOWARD,Howard,18,18,18
HUDSPETH,Hudspeth,19,19,19
HUNT,Hunt,10,10,10
HUTCHINSON,Hutchinson,16,16,16
IRION,Irion,15,15,15
JACK,Jack,09,09,09
JACKSON,Jackson,03,03,03
JASPER,Jasper,05,05,05
JEFF DAVIS,Jeff Davis,18,18,18
JEFFERSON,Jefferson,05,05,05
JIM HOGG,Jim Hogg,01,01,01
JIM WELLS,Jim Wells,02,02,02
JOHNSON,Johnson,11,11,11
JONES,Jones,14,14,14
KARNES,Karnes,20,20,03
KAUFMAN,Kaufman,10,10,10
KENDALL,Kendall,20,20,13
KENEDY,Kenedy,02,02,02
KENT,Kent,17,17,17
KERR,Kerr,20,20,20
KIMBLE,Kimble,15,15,15
KING,King,17,17,17
KINNEY,Kinney,20,20,20
KLEBERG,Kleberg,02,02,02
KNOX,Knox,09,09,09
LA SALLE,La Salle,20,20,20
LAMAR,Lamar,08,08,08
LAMB,Lamb,17,17,17
LAMPASAS,Lampasas,12,12,12
LAVACA,Lavaca,03,03,03
LEE,Lee,13,13,13
LEON,Leon,06,06,06
LIBERTY,Liberty,04,04,04
LIMESTONE,Limestone,12,12,12
LIPSCOMB,Lipscomb,16,16,16
LIVE OAK,Live Oak,02,02,02
LLANO,Llano,13,13,13
LUBBOCK,Lubbock,17,17,17
LYNN,Lynn,17,17,17
MADISON,Madison,06,06,06
MARION,Marion,08,08,08
MARTIN,Martin,18,18,18
MASON,Mason,15,15,15
MATAGORDA,Matagorda,03,03,03
MAVERICK,Maverick,20,20,20
MCCULLOCH,Mcculloch,15,15,15
MCLENNAN,Mclennan,12,12,12
MCMULLEN,Mcmullen,02,02,02
MEDINA,Medina,20,20,20
MENARD,Menard,15,15,15
MIDLAND,Midland,18,18,18
MILAM,Milam,06,06,06
MILLS,Mills,12,12,12
MITCHELL,Mitchell,14,14,14
MONTAGUE,Montague,09,09,09
MONTGOMERY,Montgomery,06,06,06
MOORE,Moore,16,16,16
MORRIS,Morris,08,08,08
MOTLEY,Motley,17,17,17
NACOGDOCHES,Nacogdoches,07,07,07
NAVARRO,Navarro,12,12,12
NEWTON,Newton,05,05,05
NOLAN,Nolan,14,14,14
NUECES,Nueces,02,02,02
OCHILTREE,Ochiltree,16,16,16
OLDHAM,Oldham,16,16,16
ORANGE,Orange,05,05,05
PALO PINTO,Palo Pinto,11,11,11
PANOLA,Panola,07,07,07
PARKER,Parker,11,11,11
PARMER,Parmer,16,16,16
PECOS,Pecos,18,18,18
POLK,Polk,06,06,06
POTTER,Potter,16,16,16
PRESIDIO,Presidio,18,18,18
RAINS,Rains,07,07,07
RANDALL,Randall,16,16,16
REAGAN,Reagan,18,12,18
REAL,Real,20,20,20
RED RIVER,Red River,08,08,08
REEVES,Reeves,18,18,18
REFUGIO,Refugio,03,03,03
ROBERTS,Roberts,16,16,16
ROBERTSON,Robertson,06,06,06
ROCKWALL,Rockwall,10,10,10
RUNNELS,Runnels,15,15,15
RUSK,Rusk,07,07,07
SABINE,Sabine,07,07,07
SAN AUGUSTINE,San Augustine,07,07,07
SAN JACINTO,San Jacinto,06,06,06
SAN PATRICIO,San Patricio,02,02,02
SAN SABA,San Saba,15,15,15
SCHLEICHER,Schleicher,15,15,15
SCURRY,Scurry,14,14,14
SHACKELFORD,Shackelford,14,14,14
SHELBY,Shelby,07,07,07
SHERMAN,Sherman,16,16,16
SMITH,Smith,07,07,07
SOMERVELL,Somervell,11,11,11
STARR,Starr,01,01,01
STEPHENS,Stephens,14,14,14
STERLING,Sterling,15,15,15
STONEWALL,Stonewall,14,14,14
SUTTON,Sutton,15,15,15
SWISHER,Swisher,16,16,16
TARRANT,Tarrant,11,11,11
TAYLOR,Taylor,14,14,14
TERRELL,Terrell,18,18,18
TERRY,Terry,17,17,17
THROCKMORTON,Throckmorton,09,09,09
TITUS,Titus,08,08,08
TOM GREEN,Tom Green,15,15,15
TRAVIS,Travis,13,13,13
TRINITY,Trinity,06,06,06
TYLER,Tyler,05,05,05
UPSHUR,Upshur,07,07,07
UPTON,Upton,18,18,18
UVALDE,Uvalde,20,20,20
VAL VERDE,Val Verde,15,15,15
VAN ZANDT,Van Zandt,07,07,07
VICTORIA,Victoria,03,03,03
WALKER,Walker,06,06,06
WALLER,Waller,04,04,04
WARD,Ward,18,18,18
WASHINGTON,Washington,06,06,06
WEBB,Webb,01,01,01
WHARTON,Wharton,03,03,03
WHEELER,Wheeler,16,16,16
WICHITA,Wichita,09,09,09
WILBARGER,Wilbarger,09,09,09
WILLACY,Willacy,01,01,01
WILLIAMSON,Williamson,13,13,13
WILSON,Wilson,20,20,20
WINKLER,Winkler,18,18,18
WISE,Wise,11,11,11
WOOD,Wood,07,07,07
YOAKUM,Yoakum,17,17,17
YOUNG,Young,09,09,09
ZAPATA,Zapata,01,01,01
ZAVALA,Zavala,20,20,20
