field_path,value_types,non_null_count,list_item_count
vendor,dict,775,0
vendor.additionalLocations,NoneType,0,0
vendor.address,dict,775,0
vendor.address.city,str,775,0
vendor.address.county,str,775,0
vendor.address.region,str,775,0
vendor.address.state,str,775,0
vendor.address.street,str,775,0
vendor.address.zipcode,str,775,0
vendor.bonusTagsRaw,list,775,0
vendor.contact,dict,775,0
vendor.contact.email,str,775,0
vendor.contact.phone,str,775,0
vendor.contact.website,str,654,0
vendor.costOptions,str,775,0
vendor.curricularClassification,NoneType,0,0
vendor.deleted_at,NoneType,0,0
vendor.description,"NoneType,str",2,0
vendor.directPayMarketplace,NoneType,0,0
vendor.displayGradeRange,str,775,0
vendor.id,str,775,0
vendor.isElementary,bool,775,0
vendor.isHigh,bool,744,0
vendor.isMiddle,bool,744,0
vendor.isPreK,"NoneType,bool",741,0
vendor.isProductionReady,bool,775,0
vendor.location,dict,775,0
vendor.location.lat,"NoneType,float",731,0
vendor.location.lng,"NoneType,float",731,0
vendor.maxGrade,int,775,0
vendor.minGrade,int,775,0
vendor.name,str,775,0
vendor.price,NoneType,0,0
vendor.pricingModel,NoneType,0,0
vendor.pricingNotes,NoneType,0,0
vendor.schoolAttributes,dict,775,0
vendor.schoolAttributes.academics,dict,775,0
vendor.schoolAttributes.academics.attendanceRate,"NoneType,float",2,0
vendor.schoolAttributes.academics.graduationRate,"NoneType,int",1,0
vendor.schoolAttributes.academics.notableAchievements,"list,str",775,0
vendor.schoolAttributes.academics.retentionRate,"NoneType,float",1,0
vendor.schoolAttributes.academics.studentGrowth,"NoneType,float",1,0
vendor.schoolAttributes.academics.studentTeacherRatio,"NoneType,int",2,0
vendor.schoolAttributes.features,dict,775,0
vendor.schoolAttributes.features.academicFocusAreas,list,775,7
vendor.schoolAttributes.features.amenities,list,775,13
vendor.schoolAttributes.features.cultureAndValues,list,775,8
vendor.schoolAttributes.features.extracurricularOfferings,list,775,13
vendor.schoolAttributes.features.supportResources,list,775,11
vendor.schoolAttributes.financial,dict,775,0
vendor.schoolAttributes.financial.financialAccessibility,list,775,3
vendor.schoolAttributes.financial.maxAnnualTuition,NoneType,0,0
vendor.schoolAttributes.financial.minAnnualTuition,NoneType,0,0
vendor.serviceType,list,775,775
vendor.specialties,dict,775,0
vendor.specialties.classes,list,775,0
vendor.specialties.curriculum,list,775,0
vendor.specialties.enrichment,list,775,0
vendor.specialties.supplies,list,775,0
vendor.specialties.therapy,list,775,0
vendor.specialties.tutoring,list,775,0
vendor.subjectsTaught,list,775,0
vendor.type,str,775,0
vendor.vendorType,str,775,0
vendor.vendorTypes,list,775,775
