vendor_id,service_type
rec05zYl59hMQkZEF,local
rec0B7apVyNdg5RW5,local
rec0Ih6vIYmAEtNd1,local
rec0LFMaeIcVkxL7h,local
rec0b00SnG1QGtTF5,local
rec0hanAG3TUNX9s0,local
rec0jEmymh16i3Cb2,local
rec0kXwBurkouZpKW,local
rec0nIfa3Uafcs6A5,local
rec0qdzBx3M3n0WXc,local
rec0zNBSPa55fGXr1,local
rec0zmu32f2ykhcDY,local
rec1AonKqMLanSbDk,local
rec1NeREO0KjGb8LY,local
rec1SzAwSbhUXtC5A,local
rec1WNQ2GGBwUHgU8,local
rec1aZywCZw9sqnHt,local
rec1efrOXutNX7tcy,local
rec1iPvJyzwgDlUqT,local
rec1jYWTDTGDUpW5K,local
rec1zQu6tRRiJQPeq,local
rec23iOt8uZjwqige,local
rec27J80NJd4GmWBO,local
rec2IqWRkonWk3nMU,local
rec2iCn5MFHbFp2yU,local
rec2jOPUr93U8N0xf,local
rec2n7lyLfyfRoLZ7,local
rec2uNiGuKcmCKCeO,local
rec2yGjMEVHjpFDSF,local
rec2zivIrLDvMJRrO,local
rec3979FLMuIZgeOT,local
rec39ZvKfzpamRMsn,local
rec39bZ99GWUa9GCl,local
rec3CidfjgONQpk1a,local
rec3GQtaUnoPVf1f5,local
rec3QO5qTcHm0JRKp,local
rec3b2wSpaXUi2uxM,local
rec3kgDfGHKqthhb5,local
rec3mJyBb7EgLXep0,local
rec3qrmY6jii23yIO,local
rec3rHUBjsCVhxZco,local
rec3tCZbGMULgHlNe,local
rec3x1xpZpDzb0uSR,local
rec461ggSwNbyWbcE,local
rec4MJj2XbHmFk3Zv,local
rec4TMJD4I1MqkECp,local
rec4Zf0wsThwTvKwd,local
rec4wc2tZONCcKEIF,local
rec4xIj9yD0IRdRXr,local
rec532sChfEbCc8ML,local
rec5BykijJsnCuaz5,local
rec5KJkUHK7MDKJ7X,local
rec5M3epEJShUf9v1,local
rec5aMtR0ouhT3oS5,local
rec5bBezcYyk0hu3C,local
rec5bgvvIG8ulfdAC,local
rec5fjrs3eO2oSqnu,local
rec5h4Y14b7nterFl,local
rec5hofSWJUlxaQo1,local
rec5xL18F6A5hqmSw,local
rec5zXYHRA9LWbF4v,local
rec61lV1MeyYvxN5f,local
rec67w4UrKMgaZ33T,local
rec6CTJl60ZXOvdo9,local
rec6R24fPnxdmi4hy,local
rec6UTNItbIz4w8sI,local
rec6UkR9EX4nEhylI,local
rec6VrmulnQSrU18l,local
rec6adVYeURfuaWmp,local
rec6azPtpoLhNlQ0t,local
rec6jTGTAshpTOXB9,local
rec6n8M3c0VlgKQU7,local
rec6nfYFHBMEWj7mI,local
rec6onHBk2gk2N25I,local
rec6qmeqxRPCVrHdZ,local
