id,name,vendorType,vendorTypes,type,serviceType,description,directPayMarketplace,additionalLocations,subjectsTaught,pricingModel,price,pricingNotes,isProductionReady,curricularClassification,bonusTagsRaw,minGrade,maxGrade,isPreK,isElementary,isMiddle,isHigh,displayGradeRange,costOptions,address_street,address_city,address_state,address_zipcode,address_county,address_region,location_lat,location_lng,contact_website,contact_phone,contact_email,financial_minAnnualTuition,financial_maxAnnualTuition,academics_studentGrowth,academics_attendanceRate,academics_graduationRate,academics_studentTeacherRatio,academics_retentionRate
rec05zYl59hMQkZEF,Alpha Academy #3,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,4627 Vista Rd,Pasadena,TX,77504,Harris County,Houston Area,29.658702034469,-95.173124363732,https://www.facebook.com/alphaacademytx,(713) 325-2122,yesramirez100@gmail.com,,,,,,,
rec0B7apVyNdg5RW5,This Little Light Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,534 Yates St,"Mount Vernon, Tx",TX,75457,Franklin County,East Texas,33.184291614904,-95.232192115695,,(903) 767-2721,dcanaday_1@yahoo.com,,,,,,,
rec0Ih6vIYmAEtNd1,Maelee's Learning Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,702 S Texas Blvd,Weslaco,TX,78596,Hidalgo County,Rio Grande Valley,26.153499010916,-97.99063313128,,(956) 447-0144,maeleeslearningacademy@gmail.com,,,,,,,
rec0LFMaeIcVkxL7h,Lena Pope Early Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,3200 Sanguinet St,Fort Worth,TX,76107,Tarrant County,Dallas-Fort Worth,32.729067729773,-97.391477791464,https://lenapope.org/intellectual-well-being/early-learning-centers,(817) 255-2562,mariah.hubbard@lenapope.org,,,,,,,
rec0b00SnG1QGtTF5,Country Kids Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,21002 Encino Cmns,San Antonio,TX,78259,Bexar County,San Antonio Area,29.636756811333,-98.451263069187,https://countrykidsacademy.com,(210) 403-2458,director@ckasat.com,,,,,,,
rec0hanAG3TUNX9s0,Endless Discoveries Glen Rose,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,200 Commerce St,Glen Rose,TX,76043,Somervell County,Dallas-Fort Worth,32.246458143926,-97.745956883397,https://www.endlessdiscoveriescdc.com,(254) 436-8036,k.carnes@endlessdiscoveriescdc.com,,,,,,,
rec0jEmymh16i3Cb2,Rock Star Daycare Preschool,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1509 Bailey Ave,Dumas,TX,79029,Moore County,Panhandle,35.877025854782,-101.954089029506,,(806) 421-9797,meudydaycare@gmail.com,,,,,,,
rec0kXwBurkouZpKW,Spirit Life Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,925 Nas Dr,Corpus Christi,TX,78418,Nueces County,South Texas,27.672131305809,-97.280548164988,https://www.spiritlife-academy.org,(361) 334-7476,spiritlife.john0663@gmail.com,,,,,,,
rec0nIfa3Uafcs6A5,Summit Christian Academy Of Cedar Park,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,2121 Cypress Creek Rd,Cedar Park,TX,78613,Williamson County,Austin Area,30.474666922558,-97.843126333301,https://summiteagles.org,(512) 250-1369,jkelsey@summiteagles.org,,,,,,,
rec0qdzBx3M3n0WXc,Shoreline Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,15201 Burnet Rd,Austin,TX,78728,Travis County,Austin Area,30.457138279702,-97.695012852933,https://www.shorelineearlylearningcenter.com,(512) 681-3255,kathy.smith@shoreline.net,,,,,,,
